image_id,stomata_density_count,open_stomata_count,closed_stomata_count,average_area_pixels,average_length_pixels,average_width_pixels,average_shape_index,distribution_pattern_cv
ds2_1-25_Y_jpg.rf.9be6a494e4dc6e3111add0ca420c8c89,52,37,15,614.1,33.37,23.86,0.721,0.341
ds2_1-2_Y_jpg.rf.0b0a1d91c9bc7f8fe3f37f739241521c,34,22,12,621.79,35.26,23.1,0.669,0.325
ds2_1-2_Y_jpg.rf.141c48bdcef9f5ca5b5f90b16b4c557d,34,22,12,615.13,35.66,22.76,0.651,0.324
ds2_1-5_Y_jpg.rf.b3a16d4c4b3be2f79b8f1291d9682a22,26,17,9,807.48,42.47,25.12,0.599,0.443
ds2_10-11_A_jpg.rf.8d0964e2530f5730b909dc42bf864aa2,41,33,8,666.79,34.93,24.71,0.718,0.389
ds2_10-12_A_jpg.rf.63f701dd1ab2936fdc78ade67f00ca38,45,25,20,655.0,33.43,25.32,0.765,0.332
ds2_10-16_Y_jpg.rf.83f547fe46dbce83c6fa0255f32fbac4,27,18,9,602.98,33.29,23.56,0.714,0.317
ds2_10-25_A_jpg.rf.036eb6889217f1938239edfc9268e259,31,21,10,558.45,31.3,23.65,0.764,0.309
ds2_10-3_A_jpg.rf.f47f4dc3b3309f36b3fb79c4e4003702,36,27,9,619.04,33.95,23.5,0.702,0.305
ds2_10-5_Y_jpg.rf.af2e6b59ed7a8d5618e981d9273ad91d,26,16,10,789.13,40.55,25.68,0.647,0.44
ds2_10-7_A_jpg.rf.c76d65c79a3c9aa48d252a2f9597d53e,36,22,14,685.26,37.94,24.39,0.656,0.459
ds2_10-9_Y_jpg.rf.dc866b9a2bbaecd76f7f6cfa8133c059,27,17,10,727.76,34.37,27.07,0.797,0.394
ds2_11-15_A_jpg.rf.244f01612c4f230bce130e1a1d543d1b,60,48,12,734.09,36.21,26.57,0.744,0.259
ds2_11-22_Y_jpg.rf.ec6b6464689f1ee9326be3ebb6c52057,27,14,13,694.52,35.2,25.52,0.738,0.351
ds2_11-3_A_jpg.rf.505f2485e2000c8e92041026653ebc0c,41,28,13,609.54,32.3,24.09,0.752,0.447
ds2_12-12_Y_jpg.rf.1812ea8653cc05bbf52de3bc3fccc914,26,19,7,549.19,30.69,22.65,0.745,0.457
ds2_12-17_Y_jpg.rf.f58af49ec79d9d075a86cc3fb9476d03,30,10,20,750.78,35.91,27.31,0.774,0.267
ds2_12-22_b_9sec_jpg.rf.cb2fd130642a26cf0a3e2aec48c3de94,28,8,20,630.55,31.92,25.68,0.811,0.329
ds2_12-24_Y_jpg.rf.315c27ef336b006c4847723775bdf1c9,37,26,11,695.19,38.88,23.73,0.62,0.375
ds2_12-3_A_jpg.rf.3c861b9aeeda504adb939b214b0c6c8c,39,29,10,609.05,31.54,24.49,0.783,0.392
ds2_12-5_A_jpg.rf.d8ffe07aabf8b12a8b31dbb6a0040dc2,48,32,16,877.31,39.42,29.07,0.748,0.323
ds2_12-9_A_jpg.rf.7233fb41f3f503aa1723aba6e3cafb9b,32,21,11,651.02,33.79,25.11,0.747,0.416
ds2_2-10_A_jpg.rf.b7f9f5be5ab9e591a3f6e072d30cec8f,35,27,8,750.5,36.28,26.7,0.752,0.46
ds2_2-12_Y_jpg.rf.02140007b8e770fe5ac0f27b1da9c641,31,21,10,630.26,33.83,24.28,0.73,0.481
ds2_2-17_A_jpg.rf.9c84630c02e8da46e7255ae671359980,50,20,30,644.57,33.0,24.91,0.76,0.351
ds2_2-18_Y_jpg.rf.fdb316254ccfeeda52a25a0dfa26d72d,25,19,6,783.92,41.16,25.21,0.616,0.282
ds2_2-1_A_jpg.rf.feaf58741d1ad2ac5ac00c70d2ad75d4,36,23,13,520.18,29.25,23.04,0.8,0.524
ds2_2-22_Y_jpg.rf.e89d5819e28e1eebf6250e456cc16637,32,25,7,710.81,38.47,24.56,0.648,0.302
ds2_2-25_A_jpg.rf.13dd646112fe9768e787912998f18176,34,15,19,656.87,34.27,24.99,0.736,0.362
ds2_2-6_A_jpg.rf.8ffc50f48a53879eb161f8dc1fd1602f,11,5,6,511.5,30.2,21.16,0.71,0.423
ds2_2-8_A_jpg.rf.2ed91c22e7f7c8324379c00aa8a09289,44,35,9,652.31,35.37,24.34,0.702,0.43
ds2_2-8_Y_jpg.rf.24cf207b68a1d15e371efe0ca5af6efa,29,6,23,680.83,32.84,25.5,0.784,0.326
ds2_2024-04-20-22-07-59-B-R1-S1-_jpg.rf.d520fa06d78c4fa4e8962320b9cf0ff4,17,7,10,730.24,38.33,25.84,0.686,0.389
ds2_2024-04-20-22-08-01-B-R1-S1-_jpg.rf.a92228ae2732eda95e75fc5ea316fdd7,15,9,6,742.9,38.0,26.68,0.723,0.399
ds2_2024-04-20-22-08-05-B-R1-S1-_jpg.rf.8164f8e07fb8afdc7aba0614b422854f,20,11,9,924.98,43.08,28.83,0.677,0.595
